result|value|timestamp
nodeID://b13698101|266|2020-01-15T14:29:47.815499Z
nodeID://b13698183|268|2020-01-15T14:34:50.064948Z
nodeID://b13698220|268|2020-01-15T14:34:50.064948Z
nodeID://b13698239|268|2020-01-15T14:39:53.467706Z
nodeID://b13698318|269|2020-01-15T14:44:56.546245Z
nodeID://b13698373|270|2020-01-15T14:49:59.664269Z
nodeID://b13698452|272|2020-01-15T14:55:02.846833Z
nodeID://b13698531|272|2020-01-15T15:00:09.480176Z
nodeID://b13698586|272|2020-01-15T15:05:09.587720Z
nodeID://b13698667|272|2020-01-15T15:10:12.537841Z
nodeID://b13698726|272|2020-01-15T15:15:16.306281Z
nodeID://b13698805|274|2020-01-15T15:20:19.318221Z
nodeID://b13698860|274|2020-01-15T15:25:21.846730Z
nodeID://b13698939|273|2020-01-15T15:30:25.337516Z
nodeID://b13698994|274|2020-01-15T15:35:28.285636Z
nodeID://b13699073|276|2020-01-15T15:40:31.404147Z
nodeID://b13699128|276|2020-01-15T15:45:34.593316Z
nodeID://b13699247|278|2020-01-15T15:55:41.066636Z
nodeID://b13699325|277|2020-01-15T16:00:44.095041Z
nodeID://b13699385|277|2020-01-15T16:05:47.623057Z
nodeID://b13699469|278|2020-01-15T16:10:51.360843Z
nodeID://b13699588|279|2020-01-15T16:20:56.912837Z
nodeID://b13699643|279|2020-01-15T16:26:00.266982Z
nodeID://b13699722|280|2020-01-15T16:31:03.048427Z
nodeID://b13699777|280|2020-01-15T16:36:06.278510Z
nodeID://b13699856|284|2020-01-15T16:41:09.838231Z
nodeID://b13699911|283|2020-01-15T16:46:12.668790Z
nodeID://b13699990|284|2020-01-15T16:51:16.050715Z
nodeID://b13700048|284|2020-01-15T16:56:19.654452Z
nodeID://b13700128|284|2020-01-15T17:01:23.289698Z
nodeID://b13700183|285|2020-01-15T17:06:26.806348Z
nodeID://b13700266|285|2020-01-15T17:11:28.855335Z
nodeID://b13700321|285|2020-01-15T17:16:32.068962Z
nodeID://b13700396|285|2020-01-15T17:21:35.190862Z
nodeID://b13700451|285|2020-01-15T17:26:38.519295Z
nodeID://b13700530|286|2020-01-15T17:31:41.615882Z
nodeID://b13700585|286|2020-01-15T17:36:44.788915Z
nodeID://b13709576|286|2020-01-15T17:36:44.788915Z
nodeID://b13714090|65514|2020-01-16T14:40:44.919149Z
nodeID://b13714127|65513|2020-01-16T14:43:14.185121Z
nodeID://b13714150|65513|2020-01-16T14:43:45.643446Z
nodeID://b13714180|145|2020-01-16T14:45:41.936183Z
nodeID://b13714206|106|2020-01-16T14:46:40.771371Z
nodeID://b13714228|171|2020-01-16T14:47:10.877886Z
nodeID://b13914135|2|2020-01-30T09:17:06.851456Z
nodeID://b13914170|1|2020-01-30T09:19:12.618692Z
nodeID://b13914253|1|2020-01-30T09:24:12.695741Z
nodeID://b13914584|1|2020-01-30T09:54:36.445873Z
nodeID://b13914615|1|2020-01-30T09:56:23.861773Z
nodeID://b13914722|0|2020-01-30T10:04:52.274103Z
nodeID://b13914748|1|2020-01-30T10:06:24.686885Z
nodeID://b13915095|1|2020-01-30T10:38:12.239776Z
nodeID://b13915322|0|2020-01-30T10:58:32.052482Z
nodeID://b13915401|0|2020-01-30T11:03:30.302561Z
