fieldUri|geometry|canalUri|cropUri|farmerUri|cropLabel
http://swamp-project.org/cbec/field_25905|{"type":"MultiPolygon","coordinates":[[[[10.5481341798491,44.8314080153867],[10.5500414684569,44.8311461729286],[10.5500035734655,44.8308570860147],[10.5503024603645,44.8301987446831],[10.5500121547528,44.8300525215735],[10.5488582439921,44.8280516937209],[10.5471086051994,44.8285688043852],[10.546710683279,44.8289066995902],[10.5481341798491,44.8314080153867]]]]}|http://swamp-project.org/cbec/canal_BBE568|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_91268487|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_34445|{"type":"MultiPolygon","coordinates":[[[[10.7703986879726,44.8608470402528],[10.7742000301832,44.8598372472311],[10.7743017869536,44.8594559942399],[10.7739601749385,44.8595281233779],[10.7737493930568,44.8591417162274],[10.7725501168335,44.85945599424],[10.7717433310105,44.8583482854162],[10.7698390257348,44.8588016757902],[10.7703986879726,44.8608470402528]]]]}|http://swamp-project.org/cbec/canal_I3050|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_85220|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_2192|{"type":"MultiPolygon","coordinates":[[[[10.6430843962511,44.853064258896],[10.6443325643094,44.852593069289],[10.64469954106,44.8529503638882],[10.6454303436379,44.8526588374525],[10.6444329554075,44.8515108956102],[10.6457885782753,44.850889366429],[10.645522379973,44.8505662848098],[10.6434499466912,44.8513878764804],[10.643871167932,44.8518096971522],[10.6422942445462,44.8526133363142],[10.6427755931574,44.8529599277684],[10.6430843962511,44.853064258896]]]]}|http://swamp-project.org/cbec/canal_I3150|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_65702|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_35514|{"type":"MultiPolygon","coordinates":[[[[10.935789790857,44.7990117746728],[10.9358641334525,44.799099488787],[10.936077446687,44.7994032385041],[10.9361786544245,44.7995748493227],[10.9378803753162,44.7988252594998],[10.9384435755402,44.7985842782429],[10.9382861494803,44.7983390568668],[10.9385742441402,44.798221539762],[10.9385667724776,44.7982070736303],[10.9385992676967,44.7981933825983],[10.9383789686692,44.7978181143159],[10.9383683024628,44.7978228063731],[10.9383659928531,44.7978183345942],[10.9357430227487,44.7989721245878],[10.935789790857,44.7990117746728]]]]}|http://swamp-project.org/cbec/canal_B3026|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_252855|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_34403|{"type":"MultiPolygon","coordinates":[[[[10.7378783488725,44.8372316058316],[10.7384069651651,44.8370823296886],[10.7388373429817,44.8377988516294],[10.7391741604033,44.8378320237257],[10.7394174174301,44.8377988516294],[10.738238556454,44.8352909858557],[10.737892382993,44.8354303145955],[10.737260850326,44.8354900268175],[10.7371566955071,44.8353343334636],[10.7367697152534,44.8353689340644],[10.7376304782072,44.8375807330245],[10.7380684209146,44.8376432513719],[10.7378783488725,44.8372316058316]]]]}|http://swamp-project.org/cbec/canal_A3019|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_254171|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_11534|{"type":"MultiPolygon","coordinates":[[[[10.7494145338301,44.8678188817623],[10.7502135873506,44.8665591633275],[10.7488616750477,44.8653607531921],[10.7474481531862,44.8660770090983],[10.7494145338301,44.8678188817623]]]]}|http://swamp-project.org/cbec/canal_B2062|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_24550|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_28549|{"type":"MultiPolygon","coordinates":[[[[10.7388051234133,44.8748113521373],[10.7408551287681,44.8727544525235],[10.7418227510008,44.8718317983376],[10.7440389493954,44.8728158634595],[10.7450145966999,44.871635259026],[10.7413422354496,44.8699064425362],[10.7405963058299,44.8706861715778],[10.7397324206568,44.8702685953407],[10.7394365884793,44.8707736969416],[10.7380925133688,44.8718069964099],[10.7374595821918,44.8723547701888],[10.7388051234133,44.8748113521373]]]]}|http://swamp-project.org/cbec/canal_I3286|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_24373|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_13057|{"type":"MultiPolygon","coordinates":[[[[10.7701158187035,44.8751411776866],[10.7726150138095,44.8775904593847],[10.7742813474788,44.8771058895963],[10.7738772228951,44.8760418896791],[10.7737400209425,44.8760301212139],[10.7736485374394,44.8749612635843],[10.7701158187035,44.8751411776866]]]]}|http://swamp-project.org/cbec/canal_I2002|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_64615|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_31935|{"type":"MultiPolygon","coordinates":[[[[10.7192927362232,44.7234003497606],[10.7207911113313,44.723423355627],[10.7209429081661,44.7208428431436],[10.719444599725,44.7208198382349],[10.7192927362232,44.7234003497606]]]]}|http://swamp-project.org/cbec/canal_I3098|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_21698|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_20793|{"type":"MultiPolygon","coordinates":[[[[10.7970265494083,44.8181879524205],[10.7982122874999,44.8179655191276],[10.797478727788,44.816065559269],[10.7963333588065,44.8163237271584],[10.7970265494083,44.8181879524205]]]]}|http://swamp-project.org/cbec/canal_I4078|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_124582|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_23631|{"type":"MultiPolygon","coordinates":[[[[10.744321192522,44.8655634338527],[10.7475764718556,44.8639845548393],[10.7456894923086,44.8620731775724],[10.7429356360618,44.8634234426925],[10.7431217555863,44.8636286507727],[10.7427081566431,44.8638411869418],[10.7434319547939,44.8646839950593],[10.744321192522,44.8655634338527]]]]}|http://swamp-project.org/cbec/canal_B2062|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_17432|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_17553|{"type":"MultiPolygon","coordinates":[[[[10.7667834635584,44.8132522780167],[10.7673457246521,44.8130219655392],[10.7667948719805,44.812169369739],[10.766609515976,44.8122165598042],[10.7662009298911,44.811653021226],[10.7656083353981,44.8117634935749],[10.7657641016863,44.812495569824],[10.7663723564638,44.8126064662104],[10.7667834635584,44.8132522780167]]]]}|http://swamp-project.org/cbec/canal_A4005|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_21403|COCOMERAIA-MELONAIA
