result|value|timestamp
nodeID://b13486770|0|2020-01-01T01:00:00Z
nodeID://b13486771|0|2020-01-01T02:00:00Z
nodeID://b13486772|0|2020-01-01T03:00:00Z
nodeID://b13486773|0|2020-01-01T04:00:00Z
nodeID://b13486774|0|2020-01-01T05:00:00Z
nodeID://b13486775|0|2020-01-01T06:00:00Z
nodeID://b13486776|0|2020-01-01T07:00:00Z
nodeID://b13486777|0|2020-01-01T08:00:00Z
nodeID://b13486778|0|2020-01-01T09:00:00Z
nodeID://b13486779|0|2020-01-01T10:00:00Z
nodeID://b13486780|0|2020-01-01T11:00:00Z
nodeID://b13486781|0|2020-01-01T12:00:00Z
nodeID://b13486782|0|2020-01-01T13:00:00Z
nodeID://b13486783|0|2020-01-01T14:00:00Z
nodeID://b13486784|0|2020-01-01T15:00:00Z
nodeID://b13486785|0|2020-01-01T16:00:00Z
nodeID://b13486786|0|2020-01-01T17:00:00Z
nodeID://b13486787|0|2020-01-01T18:00:00Z
nodeID://b13486788|0|2020-01-01T19:00:00Z
nodeID://b13486789|0|2020-01-01T20:00:00Z
nodeID://b13486790|0|2020-01-01T21:00:00Z
nodeID://b13486791|0|2020-01-01T22:00:00Z
nodeID://b13501926|0|2020-01-01T23:00:00Z
nodeID://b13501927|0|2020-01-02T00:00:00Z
nodeID://b13501928|0|2020-01-02T01:00:00Z
nodeID://b13501929|0|2020-01-02T02:00:00Z
nodeID://b13501930|0|2020-01-02T03:00:00Z
nodeID://b13501931|0|2020-01-02T04:00:00Z
nodeID://b13501932|0|2020-01-02T05:00:00Z
nodeID://b13501933|0|2020-01-02T06:00:00Z
nodeID://b13501934|0|2020-01-02T07:00:00Z
nodeID://b13501935|0|2020-01-02T08:00:00Z
nodeID://b13501936|0|2020-01-02T09:00:00Z
nodeID://b13501937|0|2020-01-02T10:00:00Z
nodeID://b13501938|0|2020-01-02T11:00:00Z
nodeID://b13501939|0|2020-01-02T12:00:00Z
nodeID://b13501940|0|2020-01-02T13:00:00Z
nodeID://b13501941|0|2020-01-02T14:00:00Z
nodeID://b13501942|0|2020-01-02T15:00:00Z
nodeID://b13501943|0|2020-01-02T16:00:00Z
nodeID://b13501944|0|2020-01-02T17:00:00Z
nodeID://b13501945|0|2020-01-02T18:00:00Z
nodeID://b13501946|0|2020-01-02T19:00:00Z
nodeID://b13501947|0|2020-01-02T20:00:00Z
nodeID://b13501948|0|2020-01-02T21:00:00Z
nodeID://b13501949|0|2020-01-02T22:00:00Z
nodeID://b13517080|0|2020-01-02T23:00:00Z
nodeID://b13517081|0|2020-01-03T00:00:00Z
nodeID://b13517082|0|2020-01-03T01:00:00Z
nodeID://b13517083|0|2020-01-03T02:00:00Z
nodeID://b13517084|0|2020-01-03T03:00:00Z
nodeID://b13517085|0|2020-01-03T04:00:00Z
nodeID://b13517086|0|2020-01-03T05:00:00Z
nodeID://b13517087|0|2020-01-03T06:00:00Z
nodeID://b13517088|0|2020-01-03T07:00:00Z
nodeID://b13517089|0|2020-01-03T08:00:00Z
nodeID://b13517090|0|2020-01-03T09:00:00Z
nodeID://b13517091|0|2020-01-03T10:00:00Z
nodeID://b13517092|0|2020-01-03T11:00:00Z
nodeID://b13517093|0|2020-01-03T12:00:00Z
nodeID://b13517094|0|2020-01-03T13:00:00Z
nodeID://b13517095|0|2020-01-03T14:00:00Z
nodeID://b13517096|0|2020-01-03T15:00:00Z
nodeID://b13517097|0|2020-01-03T16:00:00Z
nodeID://b13517098|0|2020-01-03T17:00:00Z
nodeID://b13517099|0|2020-01-03T18:00:00Z
nodeID://b13517100|0|2020-01-03T19:00:00Z
nodeID://b13517101|0|2020-01-03T20:00:00Z
nodeID://b13517102|0|2020-01-03T21:00:00Z
nodeID://b13517103|0|2020-01-03T22:00:00Z
nodeID://b13532206|0|2020-01-03T23:00:00Z
nodeID://b13532207|0|2020-01-04T00:00:00Z
nodeID://b13532208|0|2020-01-04T01:00:00Z
nodeID://b13532209|0|2020-01-04T02:00:00Z
nodeID://b13532210|0|2020-01-04T03:00:00Z
nodeID://b13532211|0|2020-01-04T04:00:00Z
nodeID://b13532212|0|2020-01-04T05:00:00Z
nodeID://b13532213|0|2020-01-04T06:00:00Z
nodeID://b13532214|0|2020-01-04T07:00:00Z
nodeID://b13532215|0|2020-01-04T08:00:00Z
nodeID://b13532216|0|2020-01-04T09:00:00Z
nodeID://b13532217|0|2020-01-04T10:00:00Z
nodeID://b13532218|0|2020-01-04T11:00:00Z
nodeID://b13532219|0|2020-01-04T12:00:00Z
nodeID://b13532220|0|2020-01-04T13:00:00Z
nodeID://b13532221|0|2020-01-04T14:00:00Z
nodeID://b13532222|0|2020-01-04T15:00:00Z
nodeID://b13532223|0|2020-01-04T16:00:00Z
nodeID://b13532224|0|2020-01-04T17:00:00Z
nodeID://b13532225|0|2020-01-04T18:00:00Z
nodeID://b13532226|0|2020-01-04T19:00:00Z
nodeID://b13532227|0|2020-01-04T20:00:00Z
nodeID://b13532228|0|2020-01-04T21:00:00Z
nodeID://b13532229|0|2020-01-04T22:00:00Z
nodeID://b13547366|0|2020-01-04T23:00:00Z
nodeID://b13547367|0|2020-01-05T00:00:00Z
nodeID://b13547368|0|2020-01-05T01:00:00Z
nodeID://b13547369|0|2020-01-05T02:00:00Z
nodeID://b13547370|0|2020-01-05T03:00:00Z
nodeID://b13547371|0|2020-01-05T04:00:00Z
nodeID://b13547372|0|2020-01-05T05:00:00Z
nodeID://b13547373|0|2020-01-05T06:00:00Z
nodeID://b13547374|0|2020-01-05T07:00:00Z
nodeID://b13547375|0|2020-01-05T08:00:00Z
nodeID://b13547376|0|2020-01-05T09:00:00Z
nodeID://b13547377|0|2020-01-05T10:00:00Z
nodeID://b13547378|0|2020-01-05T11:00:00Z
nodeID://b13547379|0|2020-01-05T12:00:00Z
nodeID://b13547380|0|2020-01-05T13:00:00Z
