result|value|timestamp
nodeID://b13467298|27|2020-01-01T00:09:51.296763Z
nodeID://b13467926|27|2020-01-01T01:09:51.201104Z
nodeID://b13468550|27|2020-01-01T02:09:51.198011Z
nodeID://b13469174|27|2020-01-01T03:09:51.326394Z
nodeID://b13469798|27|2020-01-01T04:09:51.194798Z
nodeID://b13471046|27|2020-01-01T06:09:51.167086Z
nodeID://b13471796|27|2020-01-01T07:09:51.184999Z
nodeID://b13472420|27|2020-01-01T08:09:51.422937Z
nodeID://b13473044|27|2020-01-01T09:09:51.031091Z
nodeID://b13473672|27|2020-01-01T10:09:50.982762Z
nodeID://b13474300|27|2020-01-01T11:09:50.888574Z
nodeID://b13474928|27|2020-01-01T12:09:50.818831Z
nodeID://b13475556|26|2020-01-01T13:09:51.160564Z
nodeID://b13476180|26|2020-01-01T14:09:50.551597Z
nodeID://b13477424|27|2020-01-01T16:09:50.311549Z
nodeID://b13478048|27|2020-01-01T17:09:50.270862Z
nodeID://b13478676|27|2020-01-01T18:09:50.357769Z
nodeID://b13479304|27|2020-01-01T19:09:50.317866Z
nodeID://b13479932|27|2020-01-01T20:09:50.202220Z
nodeID://b13480560|27|2020-01-01T21:09:50.137627Z
nodeID://b13481188|27|2020-01-01T22:09:50.182334Z
nodeID://b13481816|27|2020-01-01T23:09:50.121411Z
nodeID://b13482444|27|2020-01-02T00:09:50.099177Z
nodeID://b13483072|27|2020-01-02T01:09:50.070558Z
nodeID://b13483696|27|2020-01-02T02:09:50.069324Z
nodeID://b13484322|27|2020-01-02T03:09:50.071972Z
nodeID://b13484948|27|2020-01-02T04:09:50.047249Z
nodeID://b13485574|27|2020-01-02T05:09:50.113139Z
nodeID://b13486194|27|2020-01-02T06:09:50.082902Z
nodeID://b13486944|27|2020-01-02T07:09:49.988372Z
nodeID://b13487572|27|2020-01-02T08:09:49.991665Z
nodeID://b13488200|26|2020-01-02T09:09:49.917786Z
nodeID://b13488828|26|2020-01-02T10:09:49.859198Z
nodeID://b13489452|27|2020-01-02T11:09:49.712610Z
nodeID://b13490076|26|2020-01-02T12:09:49.636786Z
nodeID://b13490700|26|2020-01-02T13:09:49.483902Z
nodeID://b13491324|27|2020-01-02T14:09:49.431823Z
nodeID://b13491944|27|2020-01-02T15:09:49.383489Z
nodeID://b13492572|26|2020-01-02T16:09:49.286410Z
nodeID://b13493200|26|2020-01-02T17:09:49.317001Z
nodeID://b13493828|26|2020-01-02T18:09:49.154531Z
nodeID://b13494456|26|2020-01-02T19:09:49.152833Z
nodeID://b13495084|26|2020-01-02T20:09:49.072870Z
nodeID://b13495712|26|2020-01-02T21:09:49.075627Z
nodeID://b13496336|26|2020-01-02T22:09:49.015687Z
nodeID://b13496964|26|2020-01-02T23:09:49.010413Z
nodeID://b13497592|26|2020-01-03T00:09:48.988716Z
nodeID://b13498216|26|2020-01-03T01:09:48.969024Z
nodeID://b13498844|26|2020-01-03T02:09:48.967849Z
nodeID://b13499472|26|2020-01-03T03:09:48.957086Z
nodeID://b13500100|27|2020-01-03T04:09:48.916147Z
nodeID://b13500724|27|2020-01-03T05:09:48.926159Z
nodeID://b13501352|27|2020-01-03T06:09:48.842327Z
nodeID://b13502102|27|2020-01-03T07:09:48.822452Z
nodeID://b13502730|27|2020-01-03T08:09:48.801356Z
nodeID://b13503358|27|2020-01-03T09:09:48.765379Z
nodeID://b13503986|27|2020-01-03T10:09:48.723093Z
nodeID://b13504614|27|2020-01-03T11:09:48.637057Z
nodeID://b13505862|26|2020-01-03T13:09:48.528947Z
nodeID://b13506486|26|2020-01-03T14:09:48.329785Z
nodeID://b13507114|26|2020-01-03T15:09:48.456827Z
