result|value|timestamp
nodeID://b13486745|-1.89|2020-01-01T01:00:00Z
nodeID://b13486746|-2|2020-01-01T02:00:00Z
nodeID://b13486747|-1.89|2020-01-01T03:00:00Z
nodeID://b13486748|-2.19|2020-01-01T04:00:00Z
nodeID://b13486749|-2.39|2020-01-01T05:00:00Z
nodeID://b13486750|-2.79|2020-01-01T06:00:00Z
nodeID://b13486751|-1.79|2020-01-01T07:00:00Z
nodeID://b13486752|1.9|2020-01-01T08:00:00Z
nodeID://b13486753|5.21|2020-01-01T09:00:00Z
nodeID://b13486754|6.81|2020-01-01T10:00:00Z
nodeID://b13486755|7.9|2020-01-01T11:00:00Z
nodeID://b13486756|9.31|2020-01-01T12:00:00Z
nodeID://b13486757|9.5|2020-01-01T13:00:00Z
nodeID://b13486758|9.4|2020-01-01T14:00:00Z
nodeID://b13486759|7.11|2020-01-01T15:00:00Z
nodeID://b13486760|3.9|2020-01-01T16:00:00Z
nodeID://b13486761|2.11|2020-01-01T17:00:00Z
nodeID://b13486762|1.5|2020-01-01T18:00:00Z
nodeID://b13486763|0.5|2020-01-01T19:00:00Z
nodeID://b13486764|-0.69|2020-01-01T20:00:00Z
nodeID://b13486765|-1.5|2020-01-01T21:00:00Z
nodeID://b13486766|-1.6|2020-01-01T22:00:00Z
nodeID://b13486767|-1.79|2020-01-01T23:00:00Z
nodeID://b13501902|-1.89|2020-01-02T00:00:00Z
nodeID://b13501903|-2.29|2020-01-02T01:00:00Z
nodeID://b13501904|-2.19|2020-01-02T02:00:00Z
nodeID://b13501905|-2.29|2020-01-02T03:00:00Z
nodeID://b13501906|-2.29|2020-01-02T04:00:00Z
nodeID://b13501907|-1.39|2020-01-02T05:00:00Z
nodeID://b13501908|-1.69|2020-01-02T06:00:00Z
nodeID://b13501909|-0.69|2020-01-02T07:00:00Z
nodeID://b13501910|0.31|2020-01-02T08:00:00Z
nodeID://b13501911|2.31|2020-01-02T09:00:00Z
nodeID://b13501912|4.81|2020-01-02T10:00:00Z
nodeID://b13501913|6|2020-01-02T11:00:00Z
nodeID://b13501914|6.81|2020-01-02T12:00:00Z
nodeID://b13501915|6.81|2020-01-02T13:00:00Z
nodeID://b13501916|6|2020-01-02T14:00:00Z
nodeID://b13501917|4.71|2020-01-02T15:00:00Z
nodeID://b13501918|2.9|2020-01-02T16:00:00Z
nodeID://b13501919|1.11|2020-01-02T17:00:00Z
nodeID://b13501920|0.21|2020-01-02T18:00:00Z
nodeID://b13501921|-0.6|2020-01-02T19:00:00Z
nodeID://b13501922|-0.79|2020-01-02T20:00:00Z
nodeID://b13501923|-0.29|2020-01-02T21:00:00Z
nodeID://b13501924|-0.6|2020-01-02T22:00:00Z
nodeID://b13501925|-0.89|2020-01-02T23:00:00Z
nodeID://b13517056|-0.69|2020-01-03T00:00:00Z
